bin	Depth HFD_AL_4_02_25	Depth HFD_AL_4_03_11	Depth HFD_AL_6_05_12	Depth HFD_AL_6_05_22	Depth HFD_AL_7_06_12	Depth HFD_IF_4_02_25	Depth HFD_IF_4_03_11	Depth HFD_IF_6_05_12	Depth HFD_IF_6_05_22	Depth HFD_IF_7_06_12	Input_file_busco	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco	Name_checkm2	Completeness_checkm2	Contamination_checkm2	Completeness_Model_Used_checkm2	Translation_Table_Used_checkm2	Coding_Density_checkm2	Genome_Size_checkm2	Total_Coding_Sequences_checkm2	Name	Assembly_quast	# contigs (>= 0 bp)_quast	# contigs (>= 1000 bp)_quast	# contigs (>= 5000 bp)_quast	# contigs (>= 10000 bp)_quast	# contigs (>= 25000 bp)_quast	# contigs (>= 50000 bp)_quast	Total length (>= 0 bp)_quast	Total length (>= 1000 bp)_quast	Total length (>= 5000 bp)_quast	Total length (>= 10000 bp)_quast	Total length (>= 25000 bp)_quast	Total length (>= 50000 bp)_quast	# contigs_quast	Largest contig_quast	Total length_quast	GC (%)_quast	N50_quast	N75_quast	L50_quast	L75_quast	# N's per 100 kbp_quast	# predicted rRNA genes_quast	user_genome_gtdbtk	classification_gtdbtk	closest_genome_reference_gtdbtk	closest_genome_reference_radius_gtdbtk	closest_genome_taxonomy_gtdbtk	closest_genome_ani_gtdbtk	closest_genome_af_gtdbtk	closest_placement_reference_gtdbtk	closest_placement_radius_gtdbtk	closest_placement_taxonomy_gtdbtk	closest_placement_ani_gtdbtk	closest_placement_af_gtdbtk	pplacer_taxonomy_gtdbtk	classification_method_gtdbtk	note_gtdbtk	other_related_references(genome_id,species_name,radius,ANI,AF)_gtdbtk	msa_percent_gtdbtk	translation_table_gtdbtk	red_value_gtdbtk	warnings_gtdbtk
MEGAHIT-MaxBin2-group-IF.107.fa						0.314943	0.0	10.9764	2.560575	4.13494	MEGAHIT-MaxBin2-group-IF.107.fa	bacteria_odb10	67.7	66.1	1.6	2.4	29.8	124	11	29575	29575	0.000%	206	MEGAHIT-MaxBin2-group-IF.107.fa	78.97	2.71	Neural Network (Specific Model)	11	0.838	2543196	2375	MEGAHIT-MaxBin2-group-IF.107	MEGAHIT-MaxBin2-group-IF.107.fa	206	206	104	76	28	10	2543196	2543196	2334224	2137992	1403398	748068	206	135652	2543196	58.49	29575	12610	24	56	0.0	1 + 1 part	MEGAHIT-MaxBin2-group-IF.107.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910580045	GCA_910580045.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910580045	99.23	0.85							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2-group-IF.108.fa						0.147929	0.0	2.9624	1.48842	1.93718	MEGAHIT-MaxBin2-group-IF.108.fa	bacteria_odb10	29.0	25.0	4.0	15.3	55.6	124	11	2801	2801	0.000%	1309	MEGAHIT-MaxBin2-group-IF.108.fa	40.09	15.33	Neural Network (Specific Model)	11	0.895	3249035	4043	MEGAHIT-MaxBin2-group-IF.108	MEGAHIT-MaxBin2-group-IF.108.fa	1309	1309	120	32	1	0	3249035	3249035	1022451	453908	28055	0	1309	28055	3249035	59.1	2801	1641	285	672	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-IF.108.fa																			
MEGAHIT-MaxBin2-group-IF.109.fa						0.259067	0.0	5.05739	1.38588	2.90777	MEGAHIT-MaxBin2-group-IF.109.fa	bacteria_odb10	46.0	35.5	10.5	7.3	46.8	124	11	4225	4225	0.000%	1241	MEGAHIT-MaxBin2-group-IF.109.fa	69.49	34.41	Gradient Boost (General Model)	11	0.917	4061654	4062	MEGAHIT-MaxBin2-group-IF.109	MEGAHIT-MaxBin2-group-IF.109.fa	1241	1241	216	36	0	0	4061654	4061654	1671344	450380	0	0	1241	20366	4061654	53.73	4225	2431	294	612	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-IF.109.fa																			
MEGAHIT-MaxBin2-group-IF.110.fa						0.0	0.0	0.6344559999999999	22.6289	0.4176535	MEGAHIT-MaxBin2-group-IF.110.fa	bacteria_odb10	93.5	91.1	2.4	1.6	4.8	124	11	19038	19038	0.000%	310	MEGAHIT-MaxBin2-group-IF.110.fa	94.26	2.99	Gradient Boost (General Model)	11	0.894	2864612	2772	MEGAHIT-MaxBin2-group-IF.110	MEGAHIT-MaxBin2-group-IF.110.fa	310	310	148	79	27	8	2864612	2864612	2475462	1963372	1131574	487954	310	87259	2864612	41.37	19038	8556	41	100	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-IF.110.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__An181;s__An181 sp910585545	GCA_910585545.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__An181;s__An181 sp910585545	99.97	0.804							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2-group-IF.111.fa						0.121556	0.0	4.18518	2.21445	1.92308	MEGAHIT-MaxBin2-group-IF.111.fa	bacteria_odb10	63.7	44.4	19.4	12.1	24.2	124	11	4897	4897	0.000%	1037	MEGAHIT-MaxBin2-group-IF.111.fa	75.89	28.09	Gradient Boost (General Model)	11	0.88	3531622	4015	MEGAHIT-MaxBin2-group-IF.111	MEGAHIT-MaxBin2-group-IF.111.fa	1037	1037	196	54	1	0	3531622	3531622	1720853	742791	28113	0	1037	28113	3531622	63.01	4897	2343	206	466	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-IF.111.fa																			
MEGAHIT-MaxBin2-group-IF.112.fa						0.0288474	0.0328964	51.4348	22.6855	25.0931	MEGAHIT-MaxBin2-group-IF.112.fa	bacteria_odb10	79.0	78.2	0.8	4.0	16.9	124	11	57082	57082	0.000%	112	MEGAHIT-MaxBin2-group-IF.112.fa	74.08	0.84	Gradient Boost (General Model)	11	0.875	3155634	2709	MEGAHIT-MaxBin2-group-IF.112	MEGAHIT-MaxBin2-group-IF.112.fa	112	112	72	67	38	19	3155634	3155634	3064011	3027443	2543911	1839885	112	200191	3155634	51.97	57082	33867	15	32	0.0	0 + 1 part	MEGAHIT-MaxBin2-group-IF.112.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910587555	GCA_910587555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp910587555	98.94	0.812							ani_screen	classification based on ANI only	GCA_947367855.1, s__Acetatifactor sp947367855, 95.0, 90.61, 0.154				
MEGAHIT-MaxBin2-group-IF.113.fa						0.167934	7.55907	0.264178	4.51372	11.167	MEGAHIT-MaxBin2-group-IF.113.fa	bacteria_odb10	88.7	88.7	0.0	5.6	5.6	124	11	16980	16980	0.000%	275	MEGAHIT-MaxBin2-group-IF.113.fa	95.07	1.3	Gradient Boost (General Model)	11	0.875	2809747	2765	MEGAHIT-MaxBin2-group-IF.113	MEGAHIT-MaxBin2-group-IF.113.fa	275	275	167	93	26	4	2809747	2809747	2508322	1984895	969151	229320	275	61617	2809747	60.43	16980	8477	48	107	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-IF.113.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp014237695	GCA_947653875.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp014237695	98.48	0.897							ani_screen	classification based on ANI only	GCA_910579485.1, s__Pelethomonas sp910579485, 95.0, 90.9, 0.434; GCA_021768185.1, s__Pelethomonas sp021768185, 95.0, 86.37, 0.252				
MEGAHIT-MaxBin2-group-IF.114.fa						0.0681508	0.0	9.803	6.75448	5.05887	MEGAHIT-MaxBin2-group-IF.114.fa	bacteria_odb10	54.0	29.8	24.2	3.2	42.7	124	11	9831	9831	0.000%	1001	MEGAHIT-MaxBin2-group-IF.114.fa	84.45	34.21	Gradient Boost (General Model)	11	0.873	6273246	6492	MEGAHIT-MaxBin2-group-IF.114	MEGAHIT-MaxBin2-group-IF.114.fa	1001	1001	409	177	22	1	6273246	6273246	4724450	3107923	791673	83525	1001	83525	6273246	49.6	9831	5072	180	406	0.0	1 + 0 part	MEGAHIT-MaxBin2-group-IF.114.fa																			
MEGAHIT-MaxBin2-group-IF.115.fa						0.0149895	0.02980775	50.112300000000005	22.20485	19.4206	MEGAHIT-MaxBin2-group-IF.115.fa	bacteria_odb10	75.0	67.7	7.3	6.5	18.5	124	11	33037	33037	0.000%	132	MEGAHIT-MaxBin2-group-IF.115.fa	82.24	4.91	Gradient Boost (General Model)	11	0.869	2511032	2385	MEGAHIT-MaxBin2-group-IF.115	MEGAHIT-MaxBin2-group-IF.115.fa	132	132	94	78	36	11	2511032	2511032	2424577	2318817	1610698	733246	132	86657	2511032	64.2	33037	21415	24	48	0.0	1 + 0 part	MEGAHIT-MaxBin2-group-IF.115.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp910577915	GCA_910577915.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pelethomonas;s__Pelethomonas sp910577915	98.23	0.783							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2-group-IF.116.fa						0.01549355	0.5870895	29.9636	16.347450000000002	9.91648	MEGAHIT-MaxBin2-group-IF.116.fa	bacteria_odb10	93.5	77.4	16.1	2.4	4.0	124	11	50938	50938	0.000%	202	MEGAHIT-MaxBin2-group-IF.116.fa	93.05	20.31	Gradient Boost (General Model)	11	0.882	4489417	4026	MEGAHIT-MaxBin2-group-IF.116	MEGAHIT-MaxBin2-group-IF.116.fa	202	202	130	103	58	28	4489417	4489417	4316466	4116731	3333649	2261979	202	272716	4489417	51.94	50938	24778	28	60	0.0	1 + 0 part	MEGAHIT-MaxBin2-group-IF.116.fa																			
MEGAHIT-MaxBin2-group-IF.117.fa						0.0	0.0319023499999999	11.94655	70.1151	15.00625	MEGAHIT-MaxBin2-group-IF.117.fa	bacteria_odb10	99.2	97.6	1.6	0.0	0.8	124	11	75190	75190	0.000%	142	MEGAHIT-MaxBin2-group-IF.117.fa	98.84	5.77	Gradient Boost (General Model)	11	0.866	3305992	3166	MEGAHIT-MaxBin2-group-IF.117	MEGAHIT-MaxBin2-group-IF.117.fa	142	142	74	63	41	23	3305992	3305992	3166367	3084261	2746027	2146247	142	163978	3305992	44.44	75190	32892	16	32	0.0	7 + 2 part	MEGAHIT-MaxBin2-group-IF.117.fa	d__Bacteria;p__Bacillota;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UBA7185;s__UBA7185 sp910585405	GCA_910585405.1	95.0	d__Bacteria;p__Bacillota;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__UBA7185;s__UBA7185 sp910585405	99.94	0.892							ani_screen	classification based on ANI only	GCA_002491065.1, s__UBA7185 sp002491065, 95.0, 94.53, 0.75				
MEGAHIT-MaxBin2-group-IF.118.fa						0.0584755	0.0	5.46701	2.39457	3.657105	MEGAHIT-MaxBin2-group-IF.118.fa	bacteria_odb10	62.9	41.1	21.8	7.3	29.8	124	11	12368	12368	0.000%	586	MEGAHIT-MaxBin2-group-IF.118.fa	76.41	36.16	Gradient Boost (General Model)	11	0.901	3728830	3849	MEGAHIT-MaxBin2-group-IF.118	MEGAHIT-MaxBin2-group-IF.118.fa	586	586	224	116	18	0	3728830	3728830	2906462	2108703	551243	0	586	40315	3728830	64.71	12368	5615	95	204	0.0	0 + 1 part	MEGAHIT-MaxBin2-group-IF.118.fa																			
MEGAHIT-MaxBin2-group-IF.119.fa						0.0193653	3.80494	5.36174	0.937414	4.68282	MEGAHIT-MaxBin2-group-IF.119.fa	bacteria_odb10	94.4	89.5	4.8	1.6	4.0	124	11	46285	46285	0.000%	123	MEGAHIT-MaxBin2-group-IF.119.fa	99.99	4.9	Neural Network (Specific Model)	11	0.898	2247873	2031	MEGAHIT-MaxBin2-group-IF.119	MEGAHIT-MaxBin2-group-IF.119.fa	123	123	72	56	28	13	2247873	2247873	2148398	2023148	1571961	1035805	123	214860	2247873	63.71	46285	22723	15	33	0.0	1 + 0 part	MEGAHIT-MaxBin2-group-IF.119.fa	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum	GCF_000741295.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum	96.46	0.845							ani_screen	classification based on ANI only	GCF_000771225.1, s__Bifidobacterium pseudolongum, 95.0, 93.5, 0.792; GCF_004155535.1, s__Bifidobacterium pseudolongum_C, 95.08, 95.09, 0.749				
MEGAHIT-MaxBin2-group-IF.120.fa						0.0	0.0	3.20378	2.99249	1.91755	MEGAHIT-MaxBin2-group-IF.120.fa	bacteria_odb10	34.7	30.6	4.0	18.5	46.8	124	11	3045	3045	0.000%	1333	MEGAHIT-MaxBin2-group-IF.120.fa	54.87	9.76	Gradient Boost (General Model)	11	0.898	3464773	4019	MEGAHIT-MaxBin2-group-IF.120	MEGAHIT-MaxBin2-group-IF.120.fa	1333	1333	126	19	2	0	3464773	3464773	1061534	321610	69941	0	1333	43004	3464773	49.79	3045	1790	304	678	0.0	1 + 0 part	MEGAHIT-MaxBin2-group-IF.120.fa																			
MEGAHIT-MaxBin2-group-IF.121.fa						0.0	0.0	25.2272	10.2284	16.2316	MEGAHIT-MaxBin2-group-IF.121.fa	bacteria_odb10	91.9	87.9	4.0	0.8	7.3	124	11	28926	28926	0.000%	207	MEGAHIT-MaxBin2-group-IF.121.fa	92.56	7.92	Neural Network (Specific Model)	11	0.871	2634629	2562	MEGAHIT-MaxBin2-group-IF.121	MEGAHIT-MaxBin2-group-IF.121.fa	207	207	101	78	34	10	2634629	2634629	2417502	2250672	1498102	679703	207	87644	2634629	54.82	28926	17818	28	58	0.0	0 + 2 part	MEGAHIT-MaxBin2-group-IF.121.fa	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__Faecalibaculum rodentium	GCF_001564455.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__Faecalibaculum rodentium	98.02	0.764							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2-group-IF.122.fa						0.0	0.0	13.9502	6.73865	25.2536	MEGAHIT-MaxBin2-group-IF.122.fa	bacteria_odb10	88.7	88.7	0.0	4.0	7.3	124	11	41661	41661	0.000%	135	MEGAHIT-MaxBin2-group-IF.122.fa	84.79	0.07	Neural Network (Specific Model)	11	0.907	2703643	2720	MEGAHIT-MaxBin2-group-IF.122	MEGAHIT-MaxBin2-group-IF.122.fa	135	135	88	65	35	15	2703643	2703643	2581234	2409991	1915047	1185043	135	132559	2703643	56.05	41661	20438	19	41	0.0	2 + 0 part	MEGAHIT-MaxBin2-group-IF.122.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp009917525	GCF_009917525.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp009917525	97.05	0.769							ani_screen	classification based on ANI only	GCA_021769555.1, s__Acutalibacter sp021769555, 95.0, 85.05, 0.248; GCA_947572385.1, s__Acutalibacter sp947572385, 95.0, 93.99, 0.686				
MEGAHIT-MaxBin2-group-IF.123.fa						0.0	0.0	4.3178	1.88065	2.279175	MEGAHIT-MaxBin2-group-IF.123.fa	bacteria_odb10	79.8	45.2	34.7	9.7	10.5	124	11	13284	13284	0.000%	800	MEGAHIT-MaxBin2-group-IF.123.fa	95.68	33.02	Neural Network (Specific Model)	11	0.872	4264436	4133	MEGAHIT-MaxBin2-group-IF.123	MEGAHIT-MaxBin2-group-IF.123.fa	800	800	188	100	34	6	4264436	4264436	2990563	2372104	1324378	416971	800	84528	4264436	64.09	13284	3884	79	236	0.0	0 + 4 part	MEGAHIT-MaxBin2-group-IF.123.fa																			
MEGAHIT-MaxBin2-group-IF.124.fa						0.0	0.0	4.41886	2.20754	5.31365	MEGAHIT-MaxBin2-group-IF.124.fa	bacteria_odb10	65.3	63.7	1.6	6.5	28.2	124	11	9336	9336	0.000%	425	MEGAHIT-MaxBin2-group-IF.124.fa	73.4	4.14	Gradient Boost (General Model)	11	0.906	2571573	2473	MEGAHIT-MaxBin2-group-IF.124	MEGAHIT-MaxBin2-group-IF.124.fa	425	425	188	75	4	0	2571573	2571573	1977454	1152377	128685	0	425	45426	2571573	55.66	9336	5459	89	179	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-IF.124.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lientehia;s__Lientehia sp949740745	GCA_949740745.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lientehia;s__Lientehia sp949740745	98.32	0.783							ani_screen	classification based on ANI only	GCA_910587905.1, s__Lientehia sp910587905, 95.0, 85.22, 0.158; GCA_947066815.1, s__Lientehia sp947066815, 95.0, 86.12, 0.184; GCA_022800815.1, s__Lientehia sp022800815, 95.0, 84.91, 0.173				
MEGAHIT-MaxBin2-group-IF.125.fa						0.00251353	0.0390898	51.6697	53.7307	76.408	MEGAHIT-MaxBin2-group-IF.125.fa	bacteria_odb10	94.4	62.1	32.3	1.6	4.0	124	11	169816	169816	0.000%	41	MEGAHIT-MaxBin2-group-IF.125.fa	100.0	14.83	Neural Network (Specific Model)	11	0.905	2737212	2406	MEGAHIT-MaxBin2-group-IF.125	MEGAHIT-MaxBin2-group-IF.125.fa	41	41	30	26	17	16	2737212	2737212	2714205	2683106	2551970	2513664	41	587259	2737212	56.85	169816	94629	4	10	0.0	0 + 1 part	MEGAHIT-MaxBin2-group-IF.125.fa																			
MEGAHIT-MaxBin2-group-IF.126.fa						0.0	0.0	3.80538	1.398285	2.048755	MEGAHIT-MaxBin2-group-IF.126.fa	bacteria_odb10	62.9	47.6	15.3	8.9	28.2	124	11	4885	4885	0.000%	1120	MEGAHIT-MaxBin2-group-IF.126.fa	82.27	31.85	Neural Network (Specific Model)	11	0.873	3854738	3885	MEGAHIT-MaxBin2-group-IF.126	MEGAHIT-MaxBin2-group-IF.126.fa	1120	1120	168	62	11	1	3854738	3854738	1909197	1172104	398002	66691	1120	66691	3854738	68.49	4885	2268	172	473	0.0	0 + 3 part	MEGAHIT-MaxBin2-group-IF.126.fa																			
MEGAHIT-MaxBin2-group-IF.127.fa						0.0	0.0	44.0147	22.5192	20.3361	MEGAHIT-MaxBin2-group-IF.127.fa	bacteria_odb10	92.7	87.9	4.8	2.4	4.8	124	11	244758	244758	0.000%	27	MEGAHIT-MaxBin2-group-IF.127.fa	99.34	3.76	Neural Network (Specific Model)	11	0.861	2064193	1722	MEGAHIT-MaxBin2-group-IF.127	MEGAHIT-MaxBin2-group-IF.127.fa	27	27	11	8	8	7	2064193	2064193	2032852	2012808	2012808	1983667	27	646861	2064193	58.78	244758	220822	3	5	0.0	3 + 0 part	MEGAHIT-MaxBin2-group-IF.127.fa	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Leptogranulimonas;s__Leptogranulimonas caecicola	GCF_023168405.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Leptogranulimonas;s__Leptogranulimonas caecicola	98.8	0.928							ani_screen	classification based on ANI only	GCA_012584445.1, s__Leptogranulimonas sp012584445, 95.0, 94.08, 0.809				
MEGAHIT-MaxBin2-group-IF.128.fa						0.0	0.0	6.894945	1.54515	1.93309	MEGAHIT-MaxBin2-group-IF.128.fa	bacteria_odb10	46.8	45.2	1.6	8.1	45.2	124	11	4194	4194	0.000%	884	MEGAHIT-MaxBin2-group-IF.128.fa	71.86	7.41	Neural Network (Specific Model)	11	0.902	2765574	2938	MEGAHIT-MaxBin2-group-IF.128	MEGAHIT-MaxBin2-group-IF.128.fa	884	884	145	22	0	0	2765574	2765574	1113858	277021	0	0	884	18390	2765574	50.27	4194	2264	205	428	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-IF.128.fa																			
MEGAHIT-MaxBin2-group-IF.129.fa						0.0	0.0	0.0	4.67556	0.0	MEGAHIT-MaxBin2-group-IF.129.fa	bacteria_odb10	12.1	12.1	0.0	14.5	73.4	124	11	1446	1446	0.000%	269	MEGAHIT-MaxBin2-group-IF.129.fa	19.77	0.0	Neural Network (Specific Model)	11	0.951	406877	474	MEGAHIT-MaxBin2-group-IF.129	MEGAHIT-MaxBin2-group-IF.129.fa	269	269	1	0	0	0	406877	406877	5565	0	0	0	269	5565	406877	46.53	1446	1179	98	175	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-IF.129.fa																			
MEGAHIT-MaxBin2-group-IF.130.fa						0.0	0.0	4.93494	0.789358	3.1889	MEGAHIT-MaxBin2-group-IF.130.fa	bacteria_odb10	82.3	82.3	0.0	7.3	10.5	124	11	6482	6482	0.000%	479	MEGAHIT-MaxBin2-group-IF.130.fa	89.4	0.6	Gradient Boost (General Model)	11	0.891	2102484	2196	MEGAHIT-MaxBin2-group-IF.130	MEGAHIT-MaxBin2-group-IF.130.fa	479	479	127	44	2	0	2102484	2102484	1273973	685908	55309	0	479	29487	2102484	56.68	6482	3446	89	200	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-IF.130.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis_A	GCF_010206195.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis_A	99.39	0.947							ani_screen	classification based on ANI only	GCF_025146135.1, s__Anaerotruncus colihominis, 95.0, 90.45, 0.563				
MEGAHIT-MaxBin2-group-IF.131.fa						0.0	0.0	4.59108	8.083680000000001	12.26055	MEGAHIT-MaxBin2-group-IF.131.fa	bacteria_odb10	98.4	98.4	0.0	0.0	1.6	124	11	53234	53234	0.000%	82	MEGAHIT-MaxBin2-group-IF.131.fa	99.96	0.1	Neural Network (Specific Model)	11	0.916	2625471	2194	MEGAHIT-MaxBin2-group-IF.131	MEGAHIT-MaxBin2-group-IF.131.fa	82	82	73	57	41	18	2625471	2625471	2606801	2492365	2239682	1410001	82	187996	2625471	56.38	53234	33072	17	33	0.0	2 + 0 part	MEGAHIT-MaxBin2-group-IF.131.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__											d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		97.08	11.0	0.98726	
MEGAHIT-MaxBin2-group-IF.132.fa						0.0	0.0	0.0	7.561455	0.0	MEGAHIT-MaxBin2-group-IF.132.fa	bacteria_odb10	67.7	66.9	0.8	12.1	20.2	124	11	2879	2879	0.000%	452	MEGAHIT-MaxBin2-group-IF.132.fa	77.53	0.92	Gradient Boost (General Model)	11	0.939	1110681	1213	MEGAHIT-MaxBin2-group-IF.132	MEGAHIT-MaxBin2-group-IF.132.fa	452	452	43	0	0	0	1110681	1110681	272556	0	0	0	452	9781	1110681	40.85	2879	1788	118	241	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-IF.132.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp009774735	GCA_948941465.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp009774735	98.9	0.938							ani_screen	classification based on ANI only	GCA_002493325.1, s__Eubacterium_R sp002493325, 95.0, 89.74, 0.34; GCA_029054965.1, s__Eubacterium_R sp029054965, 95.0, 93.15, 0.547				
MEGAHIT-MetaBAT2-group-AL.1.fa	9.30794	4.46004	7.70149	6.24417	7.11204						MEGAHIT-MetaBAT2-group-AL.1.fa	bacteria_odb10	12.9	12.9	0.0	0.8	86.3	124	11	218756	218756	0.000%	3	MEGAHIT-MetaBAT2-group-AL.1.fa	11.02	0.0	Neural Network (Specific Model)	11	0.909	270404	268	MEGAHIT-MetaBAT2-group-AL.1	MEGAHIT-MetaBAT2-group-AL.1.fa	3	3	3	3	2	1	270404	270404	270404	270404	259044	218756	3	218756	270404	51.68	218756	218756	1	1	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-AL.1.fa																			
MEGAHIT-MetaBAT2-group-AL.10.fa	4.70715	2.07615	0.748226	2.31423	3.7791						MEGAHIT-MetaBAT2-group-AL.10.fa	bacteria_odb10	87.1	87.1	0.0	5.6	7.3	124	11	34509	34509	0.000%	81	MEGAHIT-MetaBAT2-group-AL.10.fa	89.47	1.13	Gradient Boost (General Model)	11	0.913	1758728	1743	MEGAHIT-MetaBAT2-group-AL.10	MEGAHIT-MetaBAT2-group-AL.10.fa	81	81	62	46	29	11	1758728	1758728	1702558	1586373	1319148	772700	81	124476	1758728	56.77	34509	25070	14	29	0.0	2 + 0 part	MEGAHIT-MetaBAT2-group-AL.10.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13010;s__HGM13010 sp022800755	GCA_022800755.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13010;s__HGM13010 sp022800755	99.93	0.979							ani_screen	classification based on ANI only					
MEGAHIT-MetaBAT2-group-AL.100.fa	0.2214269999999999	1.4545400000000002	1.76728	4.3821200000000005	0.0						MEGAHIT-MetaBAT2-group-AL.100.fa	bacteria_odb10	63.7	63.7	0.0	12.9	23.4	124	11	6371	6371	0.000%	318	MEGAHIT-MetaBAT2-group-AL.100.fa	80.3	1.22	Neural Network (Specific Model)	11	0.901	1629678	1593	MEGAHIT-MetaBAT2-group-AL.100	MEGAHIT-MetaBAT2-group-AL.100.fa	318	318	114	39	1	0	1629678	1629678	1050402	552336	36726	0	318	36726	1629678	64.05	6371	3867	73	153	0.0	0 + 0 part	MEGAHIT-MetaBAT2-group-AL.100.fa	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum	GCF_000741295.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium globosum	96.38	0.816							ani_screen	classification based on ANI only	GCF_000771225.1, s__Bifidobacterium pseudolongum, 95.0, 93.77, 0.709; GCF_004155535.1, s__Bifidobacterium pseudolongum_C, 95.08, 95.4, 0.802				
